,0
0,dart_accumulateddepreciationbrandnamesgross
1,dart_accumulateddepreciationbuildingincidentalfacilitiesgross
2,dart_accumulateddepreciationbuildingsgross
3,dart_accumulateddepreciationcomputersoftwaregross
4,dart_accumulateddepreciationcopyrightspatentsandotherindustrialpropertyrightsserviceandoperatingrightsgross
5,dart_accumulateddepreciationcurrentbiologicalassetsgross
6,dart_accumulateddepreciationelectronicautomationdevelopmentgross
7,dart_accumulateddepreciationelectronicfacilitiesgross
8,dart_accumulateddepreciationfinanceleaseassetgross
9,dart_accumulateddepreciationfinishedprogramgross
10,dart_accumulateddepreciationfittinggross
11,dart_accumulateddepreciationfixturesandfittingsgross
12,dart_accumulateddepreciationintangibleexplorationandevaluationassetsgross
13,dart_accumulateddepreciationinvestmentproperty
14,dart_accumulateddepreciationlandrightgross
15,dart_accumulateddepreciationlanduserightgross
16,dart_accumulateddepreciationlicencesandfranchisesgross
17,dart_accumulateddepreciationmachinerygross
18,dart_accumulateddepreciationmastheadsandpublishingtitlesgross
19,dart_accumulateddepreciationminingrightsgross
20,dart_accumulateddepreciationnoncurrentbiologicalassetsgross
21,dart_accumulateddepreciationofficeequipmentgross
22,dart_accumulateddepreciationotherintangibleassetsgross
23,dart_accumulateddepreciationotherpropertyplantandequipmentgross
24,dart_accumulateddepreciationrecipesformulaemodelsdesignsandprototypesgross
25,dart_accumulateddepreciationrentalassetgross
26,dart_accumulateddepreciationrentstructuregross
27,dart_accumulateddepreciationshipsgross
28,dart_accumulateddepreciationstructuregross
29,dart_accumulateddepreciationsupplyfacilitiesgross
30,dart_accumulateddepreciationtangibleexplorationandevaluationassetsgross
31,dart_accumulateddepreciationtelexandtelephonesubscriptionrights
32,dart_accumulateddepreciationtoolsandequipmentgross
33,dart_accumulateddepreciationunfinishedprogramgross
34,dart_accumulateddepreciationusufructcontributionassetgross
35,dart_accumulateddepreciationutilitymodelrightsgross
36,dart_accumulateddepreciationvehiclesgross
37,dart_accumulatedimpairmentlossbrandnamesgross
38,dart_accumulatedimpairmentlossbuildingincidentalfacilitiesgross
39,dart_accumulatedimpairmentlossbuildingsgross
40,dart_accumulatedimpairmentlossbyproductgross
41,dart_accumulatedimpairmentlosscomputersoftwaregross
42,dart_accumulatedimpairmentlossconstructioninprogressgross
43,dart_accumulatedimpairmentlosscopyrightspatentsandotherindustrialpropertyrightsserviceandoperatingrightsgross
44,dart_accumulatedimpairmentlosscurrentbiologicalassetsgross
45,dart_accumulatedimpairmentlosscurrentemissionright
46,dart_accumulatedimpairmentlosselectronicautomationdevelopmentgross
47,dart_accumulatedimpairmentlosselectronicfacilitiesgross
48,dart_accumulatedimpairmentlossexperimentmaterialgross
49,dart_accumulatedimpairmentlossfinanceleaseassetgross
50,dart_accumulatedimpairmentlossfinishedgoodsgross
51,dart_accumulatedimpairmentlossfinishedhousinggross
52,dart_accumulatedimpairmentlossfinishedprogramgross
53,dart_accumulatedimpairmentlossfittinggross
54,dart_accumulatedimpairmentlossfixturesandfittingsgross
55,dart_accumulatedimpairmentlossgoodsintransitgross
56,dart_accumulatedimpairmentlossgoodwillgross
57,dart_accumulatedimpairmentlossintangibleassetsunderdevelopmentgross
58,dart_accumulatedimpairmentlossintangibleexplorationandevaluationassetsgross
59,dart_accumulatedimpairmentlossinvestmentproperty
60,dart_accumulatedimpairmentlosslandgross
61,dart_accumulatedimpairmentlosslandrightgross
62,dart_accumulatedimpairmentlosslanduserightgross
63,dart_accumulatedimpairmentlosslicencesandfranchisesgross
64,dart_accumulatedimpairmentlosslotgross
65,dart_accumulatedimpairmentlossmachinerygross
66,dart_accumulatedimpairmentlossmastheadsandpublishingtitlesgross
67,dart_accumulatedimpairmentlossmerchandisegross
68,dart_accumulatedimpairmentlossminingrightsgross
69,dart_accumulatedimpairmentlossnoncurrentbiologicalassetsgross
70,dart_accumulatedimpairmentlossnoncurrentemissionrightgross
71,dart_accumulatedimpairmentlossofficeequipmentgross
72,dart_accumulatedimpairmentlossotherintangibleassetsgross
73,dart_accumulatedimpairmentlossotherinventoriesgross
74,dart_accumulatedimpairmentlossotherpropertyplantandequipmentgross
75,dart_accumulatedimpairmentlossproductionsuppliesgross
76,dart_accumulatedimpairmentlossrawmaterialsgross
77,dart_accumulatedimpairmentlossrecipesformulaemodelsdesignsandprototypesgross
78,dart_accumulatedimpairmentlossrentalassetgross
79,dart_accumulatedimpairmentlossrentstructuregross
80,dart_accumulatedimpairmentlosssemifinishedgoodsgross
81,dart_accumulatedimpairmentlossshipsgross
82,dart_accumulatedimpairmentlossstructuregross
83,dart_accumulatedimpairmentlosssuppliesgross
84,dart_accumulatedimpairmentlosssupplyfacilitiesgross
85,dart_accumulatedimpairmentlosstangibleexplorationandevaluationassetsgross
86,dart_accumulatedimpairmentlosstelexandtelephonesubscriptionrights
87,dart_accumulatedimpairmentlosstoolsandequipmentgross
88,dart_accumulatedimpairmentlossunfinishedprogramgross
89,dart_accumulatedimpairmentlossusufructcontributionassetgross
90,dart_accumulatedimpairmentlossutilitymodelrightsgross
91,dart_accumulatedimpairmentlossvehiclesgross
92,dart_accumulatedimpairmentlossworkinprogressgross
93,dart_advancesfromhouseofficesales
94,dart_advancesonconstructioncontracts
95,dart_allowancefordoubtfulacccountcurrentfinanceleasereceivables
96,dart_allowancefordoubtfulacccountleaseholddeposits
97,dart_allowancefordoubtfulacccountlongtermaccruedincomegross
98,dart_allowancefordoubtfulacccountlongtermadvancepaymentsgross
99,dart_allowancefordoubtfulacccountlongtermcontractreserve
100,dart_allowancefordoubtfulacccountlongtermdeferredancillaryincomeforloans
101,dart_allowancefordoubtfulacccountlongtermdepositsprovidedgross
102,dart_allowancefordoubtfulacccountlongtermduefromcustomersforcontractwork
103,dart_allowancefordoubtfulacccountlongtermleaseholddeposits
104,dart_allowancefordoubtfulacccountlongtermloansgross
105,dart_allowancefordoubtfulacccountlongtermotherreceivablesgross
106,dart_allowancefordoubtfulacccountlongtermprepaidexpensesgross
107,dart_allowancefordoubtfulacccountlongtermreceivablesagent
108,dart_allowancefordoubtfulacccountlongtermreceivablesonconstructioncontracts
109,dart_allowancefordoubtfulacccountlongtermreceivablesrealestatesales
110,dart_allowancefordoubtfulacccountlongtermtradereceivablesgross
111,dart_allowancefordoubtfulacccountnoncurrentfinanceleasereceivable
112,dart_allowancefordoubtfulacccountreceivablesagent
113,dart_allowancefordoubtfulacccountreceivablesonconstructioncontracts
114,dart_allowancefordoubtfulacccountreceivablesrealestatesales
115,dart_allowancefordoubtfulacccountshorttermaccruedincome
116,dart_allowancefordoubtfulacccountshorttermadvancepayments
117,dart_allowancefordoubtfulacccountshorttermdeferredancillaryincomeforloans
118,dart_allowancefordoubtfulacccountshorttermdepositsprovided
119,dart_allowancefordoubtfulacccountshorttermduefromcustomersforcontractwork
120,dart_allowancefordoubtfulacccountshorttermloans
121,dart_allowancefordoubtfulacccountshorttermotherreceivables
122,dart_allowancefordoubtfulacccountshorttermprepaidconstructioncosts
123,dart_allowancefordoubtfulacccountshorttermprepaidexpenses
124,dart_allowancefordoubtfulacccountshorttermtradereceivable
125,dart_appropriatedretainedearningsotherlegalreserves
126,dart_bondsissued
127,dart_bondwithwarrant
128,dart_brandnamesgross
129,dart_buildingincidentalfacilitiesgross
130,dart_buildingsgross
131,dart_byproductgross
132,dart_capitalstocksubscribe
133,dart_capitalsurplus
134,dart_comprehensiveincomegainslossesequitymethodsecurities
135,dart_computersoftwaregross
136,dart_considerationconversionrightscapitalsurplus
137,dart_considerationexchangeablerightscapitalsurplus
138,dart_considerationstockwarrantscapitalsurplus
139,dart_constructioninprogressgross
140,dart_conversionrightsadjustmentofconvertiblebonds
141,dart_convertiblebonds
142,dart_convertibleredeemablepreferredstockliabilities
143,dart_copyrightspatentsandotherindustrialpropertyrightsserviceandoperatingrightsgross
144,dart_curentportionoffinanceleaseliabilities
145,dart_currentavailableforsalefinancialassets
146,dart_currentbiologicalassetsgross
147,dart_currentderivativeasset
148,dart_currentderivativeliabilities
149,dart_currentemissionliabilities
150,dart_currentemissionright
151,dart_currentfinanceleasereceivables
152,dart_currentfinancialassetdesignationasatfairvaluethroughprofitorloss
153,dart_currentfinancialassetheldfortrading
154,dart_currentfinancialassetsheldtomaturity
155,dart_currentfinancialguaranteeliabilities
156,dart_currentfinancialliabilitiesdesignationasatfairvaluethroughprofitorloss
157,dart_currentfinancialliabilitiesheldfortrading
158,dart_currentfirmcommitmentasset
159,dart_currentfirmcommitmentliabilities
160,dart_currentnoncashassetspledgedascollateralforwhichtransfereehasrightbycontractorcustomtosellorrepledgecollateral
161,dart_currentportionofbonds
162,dart_currentportionofbondwithwarrant
163,dart_currentportionofconvertiblebonds
164,dart_currentportionofconvertibleredeemablepreferredstockliabilities
165,dart_currentportionofexchangeablebond
166,dart_currentportionoflongtermotherpayables
167,dart_currentprovisionforconstructionlosses
168,dart_currentprovisionsforconstructionwarranties
169,dart_currentprovisionsforproductwarranties
170,dart_currentprovisionsforreturnedgoods
171,dart_currentvalueaddedtaxpayables
172,dart_currentvalueaddedtaxreceivables
173,dart_currentworkoutpayables
174,dart_currentworkoutreceivable
175,dart_debtequityswap
176,dart_depositsforseveranceinsurance
177,dart_depositsforseveranceinsurancecontraaccount
178,dart_discountonbondsissued
179,dart_discountonbondwithwarrant
180,dart_discountonconvertiblebonds
181,dart_discountonconvertibleredeemablepreferredstockliabilities
182,dart_discountonexchangeablebonds
183,dart_discountstockissuance
184,dart_electronicautomationdevelopmentgross
185,dart_electronicfacilitiesgross
186,dart_elementsofotherstockholdersequity
187,dart_exchangeablebonds
188,dart_exchangeablerightsadjustmentofexchangeablebonds
189,dart_experimentmaterialgross
190,dart_fairvalueofplanassets
191,dart_financeleaseassetgross
192,dart_finishedgoodsgross
193,dart_finishedhousinggross
194,dart_finishedprogramgross
195,dart_fittinggross
196,dart_fixturesandfittingsgross
197,dart_gainscapitalreduction
198,dart_gainscumulativeeffectforeigncurrencytranslation
199,dart_gainssaletreasurystock
200,dart_gainsvaluationavailableforsalefinancialassets
201,dart_gainsvaluationderivativescashflowhedge
202,dart_goodsintransitgross
203,dart_goodwillgross
204,dart_governmentgrantsbrandnamesgross
205,dart_governmentgrantsbuildingincidentalfacilitiesgross
206,dart_governmentgrantsbuildingsgross
207,dart_governmentgrantscashandcashequivalentsgross
208,dart_governmentgrantscomputersoftwaregross
209,dart_governmentgrantsconstructioninprogressgross
210,dart_governmentgrantscopyrightspatentsandotherindustrialpropertyrightsserviceandoperatingrightsgross
211,dart_governmentgrantscurrentbiologicalassetsgross
212,dart_governmentgrantscurrentemissionright
213,dart_governmentgrantselectronicautomationdevelopmentgross
214,dart_governmentgrantselectronicfacilitiesgross
215,dart_governmentgrantsfinanceleaseassetgross
216,dart_governmentgrantsfinishedprogramgross
217,dart_governmentgrantsfittinggross
218,dart_governmentgrantsfixturesandfittingsgross
219,dart_governmentgrantsintangibleassetsunderdevelopmentgross
220,dart_governmentgrantsintangibleexplorationandevaluationassetsgross
221,dart_governmentgrantsinvestmentproperty
222,dart_governmentgrantslandgross
223,dart_governmentgrantslandrightgross
224,dart_governmentgrantslanduserightgross
225,dart_governmentgrantslicencesandfranchisesgross
226,dart_governmentgrantsmachinerygross
227,dart_governmentgrantsmastheadsandpublishingtitlesgross
228,dart_governmentgrantsminingrightsgross
229,dart_governmentgrantsnoncurrentbiologicalassetsgross
230,dart_governmentgrantsnoncurrentemissionrightgross
231,dart_governmentgrantsofficeequipmentgross
232,dart_governmentgrantsotherintangibleassetsgross
233,dart_governmentgrantsotherpropertyplantandequipmentgross
234,dart_governmentgrantsrecipesformulaemodelsdesignsandprototypesgross
235,dart_governmentgrantsrentalassetgross
236,dart_governmentgrantsrentstructuregross
237,dart_governmentgrantsshipsgross
238,dart_governmentgrantsstructuregross
239,dart_governmentgrantssupplyfacilitiesgross
240,dart_governmentgrantstangibleexplorationandevaluationassetsgross
241,dart_governmentgrantstelexandtelephonesubscriptionrights
242,dart_governmentgrantstoolsandequipmentgross
243,dart_governmentgrantsunfinishedprogramgross
244,dart_governmentgrantsusufructcontributionassetgross
245,dart_governmentgrantsutilitymodelrightsgross
246,dart_governmentgrantsvehiclesgross
247,dart_intangibleassetsunderdevelopmentgross
248,dart_intangibleexplorationandevaluationassetsgross
249,dart_investedassetforpostemploymentbenefit
250,dart_investedassetforpostemploymentbenefitcontraaccount
251,dart_issuedcapitalofcommonstock
252,dart_issuedcapitalofpreferredstock
253,dart_landgross
254,dart_landrightgross
255,dart_landuserightgross
256,dart_leaseholddeposits
257,dart_legalreserve
258,dart_licencesandfranchisesgross
259,dart_longtermaccruedexpensesgross
260,dart_longtermaccruedincomegross
261,dart_longtermadvancepaymentsgross
262,dart_longtermadvancescustomers
263,dart_longtermadvancesonconstructioncontracts
264,dart_longtermborrowingsgross
265,dart_longtermcontractreserve
266,dart_longtermdeferredancillaryincomeforloans
267,dart_longtermdepositsnotclassifiedascashequivalents
268,dart_longtermdepositsprovidedgross
269,dart_longtermduefromcustomersforcontractwork
270,dart_longtermduetocustomersforcontractwork
271,dart_longtermguaranteedepositrentgross
272,dart_longtermguaranteedepositwithholdings
273,dart_longtermincomereceivedinadvance
274,dart_longtermleaseholddeposits
275,dart_longtermloansgross
276,dart_longtermotherguaranteedepositreceivedgross
277,dart_longtermotherpayablesgross
278,dart_longtermotherreceivablesgross
279,dart_longtermprepaidexpenses
280,dart_longtermreceivablesagent
281,dart_longtermreceivablesonconstructioncontracts
282,dart_longtermreceivablesrealestatesales
283,dart_longtermrentreceivedinadvance
284,dart_longtermtradeandothernoncurrentpayables
285,dart_longtermtradeandothernoncurrentreceivablesgross
286,dart_longtermtradepayablesgross
287,dart_longtermtradereceivablesgross
288,dart_longtermwithholdingsbanks
289,dart_lossescapitalreduction
290,dart_lossescumulativeeffectforeigncurrencytranslation
291,dart_lossessaletreasurystock
292,dart_lossesvaluationderivativescashflowhedge
293,dart_lossvaluationavailableforsalefinancialassets
294,dart_lotgross
295,dart_machinerygross
296,dart_mastheadsandpublishingtitlesgross
297,dart_merchandisegross
298,dart_miningrightsgross
299,dart_noncurrentavailableforsalefinancialassets
300,dart_noncurrentbiologicalassetsgross
301,dart_noncurrentderivativeassets
302,dart_noncurrentderivativeliabilities
303,dart_noncurrentemissionliabilities
304,dart_noncurrentemissionrightgross
305,dart_noncurrentfairvaluefinancialasset
306,dart_noncurrentfinanceleaseliabilities
307,dart_noncurrentfinanceleasereceivable
308,dart_noncurrentfinancialassetsheldtomaturity
309,dart_noncurrentfinancialguaranteeliabilities
310,dart_noncurrentfinancialliabilitiesatfairvaluethroughprofitorloss
311,dart_noncurrentfirmcommitmentasset
312,dart_noncurrentfirmcommitmentliabilities
313,dart_noncurrentnoncashassetspledgedascollateralforwhichtransfereehasrightbycontractorcustomtosellorrepledgecollateral
314,dart_noncurrentprovisionforconstructionlosses
315,dart_noncurrentprovisionsforconstructionwarranties
316,dart_noncurrentprovisionsforproductwarranties
317,dart_noncurrentprovisionsforreturnedgoods
318,dart_noncurrentworkoutpayables
319,dart_noncurrentworkoutreceivable
320,dart_nonvestingstocks
321,dart_officeequipmentgross
322,dart_othercapitaladjustments
323,dart_othercapitalsurplus
324,dart_othercomprehensiveincomegainslossesonremeasurementsofdefinedbenefitplans
325,dart_othercomprehensiveincomegainslossesonrevaluation
326,dart_othercomprehensiveincomelossaccumulatedamount
327,dart_othercurrentassets
328,dart_othercurrentliabilities
329,dart_otherintangibleassetsgross
330,dart_otherinventoriesgross
331,dart_othernoncurrentassets
332,dart_othernoncurrentliabilities
333,dart_otherpropertyplantandequipmentgross
334,dart_paymentsofincometaxespayable
335,dart_postemploymentbenefitobligations
336,dart_premiumonbondsissued
337,dart_premiumonbondwithwarrant
338,dart_premiumonconvertiblebonds
339,dart_premiumonconvertibleredeemablepreferredstockliabilities
340,dart_premiumonexchangeablebonds
341,dart_presentvaluediscountsdeferredincomeclassifiedasnoncurrent
342,dart_presentvaluediscountslongtermaccruedexpensesgross
343,dart_presentvaluediscountslongtermaccruedincomegross
344,dart_presentvaluediscountslongtermadvancepaymentsgross
345,dart_presentvaluediscountslongtermadvancescustomers
346,dart_presentvaluediscountslongtermadvancesonconstructioncontracts
347,dart_presentvaluediscountslongtermborrowingsgross
348,dart_presentvaluediscountslongtermcontractreserve
349,dart_presentvaluediscountslongtermdeferredancillaryincomeforloans
350,dart_presentvaluediscountslongtermdepositsprovidedgross
351,dart_presentvaluediscountslongtermduefromcustomersforcontractwork
352,dart_presentvaluediscountslongtermguaranteedepositrentgross
353,dart_presentvaluediscountslongtermguaranteedepositwithholdings
354,dart_presentvaluediscountslongtermleaseholddeposits
355,dart_presentvaluediscountslongtermloansgross
356,dart_presentvaluediscountslongtermotherguaranteedepositreceivedgross
357,dart_presentvaluediscountslongtermotherpayablesgross
358,dart_presentvaluediscountslongtermotherreceivablesgross
359,dart_presentvaluediscountslongtermprepaidexpensesgross
360,dart_presentvaluediscountslongtermreceivablesagent
361,dart_presentvaluediscountslongtermreceivablesonconstructioncontracts
362,dart_presentvaluediscountslongtermreceivablesrealestatesales
363,dart_presentvaluediscountslongtermrentreceivedinadvance
364,dart_presentvaluediscountslongtermtradepayablesgross
365,dart_presentvaluediscountslongtermtradereceivablesgross
366,dart_presentvaluediscountslongtermwithholdingsbanks
367,dart_presentvaluediscountsnoncurrentfinanceleasereceivable
368,dart_presentvalueofdefinedbenefitobligation
369,dart_productionsuppliesgross
370,dart_rawmaterialsgross
371,dart_receivablesagent
372,dart_receivablesonconstructioncontracts
373,dart_receivablesrealestatesales
374,dart_recipesformulaemodelsdesignsandprototypesgross
375,dart_redemptionpremiumonbondsissued
376,dart_redemptionpremiumonbondwithwarrant
377,dart_redemptionpremiumonconvertiblebonds
378,dart_redemptionpremiumonconvertibleredeemablepreferredstockliabilities
379,dart_redemptionpremiumonexchangeablebonds
380,dart_rentalassetgross
381,dart_rentstructuregross
382,dart_reserveofgainsfrominvestmentsinequityinstruments
383,dart_reserveofgainsonfinancialassetsmeasuredatfairvaluethroughothercomprehensiveincome
384,dart_reserveofgainsonhedginginstrumentsthathedgeinvestmentsinequityinstruments
385,dart_reserveoflossesfrominvestmentsinequityinstruments
386,dart_reserveoflossesonfinancialassetsmeasuredatfairvaluethroughothercomprehensiveincome
387,dart_reserveoflossesonhedginginstrumentsthathedgeinvestmentsinequityinstruments
388,dart_retainedearningsbeforeappropriationsaccumulateddeficitbeforedisposition
389,dart_semifinishedgoodsgross
390,dart_shipsgross
391,dart_shorttermaccruedexpenses
392,dart_shorttermaccruedincome
393,dart_shorttermadvancepayments
394,dart_shorttermadvancescustomers
395,dart_shorttermadvancesinvestement
396,dart_shorttermcollectionwithholdings
397,dart_shorttermcontractreserve
398,dart_shorttermdeferredancillaryincomeforloans
399,dart_shorttermdepositsnotclassifiedascashequivalents
400,dart_shorttermdepositsprovided
401,dart_shorttermduefromcustomersforcontractwork
402,dart_shorttermduetocustomersforcontractwork
403,dart_shorttermguaranteedepositrent
404,dart_shorttermguaranteedepositwithholdings
405,dart_shorttermincomereceivedinadvance
406,dart_shorttermloans
407,dart_shorttermotherguaranteedepositreceived
408,dart_shorttermotherpayables
409,dart_shorttermotherreceivables
410,dart_shorttermprepaidconstructioncosts
411,dart_shorttermprepaidexpenses
412,dart_shorttermrentreceivedinadvance
413,dart_shorttermtradepayables
414,dart_shorttermtradereceivable
415,dart_shorttermwithholdings
416,dart_stockoptions
417,dart_structuregross
418,dart_suppliesgross
419,dart_supplyfacilitiesgross
420,dart_tangibleexplorationandevaluationassetsgross
421,dart_telexandtelephonesubscriptionrights
422,dart_toolsandequipmentgross
423,dart_unfinishedprogramgross
424,dart_usufructcontributionassetgross
425,dart_utilitymodelrightsgross
426,dart_vehiclesgross
427,dart_voluntaryreserves
428,dart_workinprogressgross
429,ifrs-full_assets
430,ifrs-full_assetsabstract
431,ifrs-full_cash
432,ifrs-full_cashandcashequivalents
433,ifrs-full_cashequivalents
434,ifrs-full_currentassets
435,ifrs-full_currentcontractassets
436,ifrs-full_currentcontractliabilities
437,ifrs-full_currentfinancialassetsatamortisedcost
438,ifrs-full_currentfinancialassetsatfairvaluethroughprofitorlossdesignateduponinitialrecognition
439,ifrs-full_currentfinancialassetsatfairvaluethroughprofitorlossmandatorilymeasuredatfairvalue
440,ifrs-full_currentfinancialassetsmeasuredatfairvaluethroughothercomprehensiveincome
441,ifrs-full_currentfinancialliabilitiesatamortisedcost
442,ifrs-full_currentfinancialliabilitiesatfairvaluethroughprofitorlossclassifiedasheldfortrading
443,ifrs-full_currentfinancialliabilitiesatfairvaluethroughprofitorlossdesignateduponinitialrecognition
444,ifrs-full_currentinvestmentsinequityinstrumentsdesignatedatfairvaluethroughothercomprehensiveincome
445,ifrs-full_currentleaseliabilities
446,ifrs-full_currentliabilities
447,ifrs-full_currentportionoflongtermborrowings
448,ifrs-full_currentprovisions
449,ifrs-full_currentprovisionsforemployeebenefits
450,ifrs-full_currenttaxassets
451,ifrs-full_currenttaxliabilities
452,ifrs-full_deferredincomeclassifiedascurrent
453,ifrs-full_deferredincomeclassifiedasnoncurrent
454,ifrs-full_deferredtaxassets
455,ifrs-full_deferredtaxliabilities
456,ifrs-full_dividendspayable
457,ifrs-full_equity
458,ifrs-full_equityabstract
459,ifrs-full_equityandliabilities
460,ifrs-full_equityattributabletoownersofparent
461,ifrs-full_intangibleassetsotherthangoodwill
462,ifrs-full_inventories
463,ifrs-full_investmentaccountedforusingequitymethod
464,ifrs-full_investmentproperty
465,ifrs-full_investmentsinassociates
466,ifrs-full_investmentsinjointventures
467,ifrs-full_investmentsinsubsidiaries
468,ifrs-full_investmentsinsubsidiariesjointventuresandassociates
469,ifrs-full_issuedcapital
470,ifrs-full_liabilities
471,ifrs-full_liabilitiesabstract
472,ifrs-full_liabilitiesincludedindisposalgroupsclassifiedasheldforsale
473,ifrs-full_longtermlegalproceedingsprovision
474,ifrs-full_longtermmiscellaneousotherprovisions
475,ifrs-full_longtermonerouscontractsprovision
476,ifrs-full_longtermprovisionfordecommissioningrestorationandrehabilitationcosts
477,ifrs-full_longtermrestructuringprovision
478,ifrs-full_longtermwarrantyprovision
479,ifrs-full_noncontrollinginterests
480,ifrs-full_noncurrentassets
481,ifrs-full_noncurrentassetsordisposalgroupsclassifiedasheldforsaleorasheldfordistributiontoowners
482,ifrs-full_noncurrentcontractassets
483,ifrs-full_noncurrentcontractliabilities
484,ifrs-full_noncurrentfinancialassetsatamortisedcost
485,ifrs-full_noncurrentfinancialassetsatfairvaluethroughprofitorlossdesignateduponinitialrecognition
486,ifrs-full_noncurrentfinancialassetsatfairvaluethroughprofitorlossmandatorilymeasuredatfairvalue
487,ifrs-full_noncurrentfinancialassetsmeasuredatfairvaluethroughothercomprehensiveincome
488,ifrs-full_noncurrentfinancialliabilitiesatamortisedcost
489,ifrs-full_noncurrentfinancialliabilitiesatfairvaluethroughprofitorlossclassifiedasheldfortrading
490,ifrs-full_noncurrentfinancialliabilitiesatfairvaluethroughprofitorlossdesignateduponinitialrecognition
491,ifrs-full_noncurrentinvestmentsinequityinstrumentsdesignatedatfairvaluethroughothercomprehensiveincome
492,ifrs-full_noncurrentleaseliabilities
493,ifrs-full_noncurrentliabilities
494,ifrs-full_noncurrentprovisions
495,ifrs-full_noncurrentprovisionsforemployeebenefits
496,ifrs-full_othercurrentfinancialassets
497,ifrs-full_othercurrentfinancialliabilities
498,ifrs-full_othernoncurrentfinancialassets
499,ifrs-full_othernoncurrentfinancialliabilities
500,ifrs-full_propertyplantandequipment
501,ifrs-full_reserveofchangeinfairvalueoffinancialliabilityattributabletochangeincreditriskofliability
502,ifrs-full_reserveofchangeinvalueofforeigncurrencybasisspreads
503,ifrs-full_reserveofchangeinvalueofforwardelementsofforwardcontracts
504,ifrs-full_reserveofchangeinvalueoftimevalueofoptions
505,ifrs-full_retainedearnings
506,ifrs-full_rightofuseassets
507,ifrs-full_sharepremium
508,ifrs-full_shorttermborrowings
509,ifrs-full_shorttermlegalproceedingsprovision
510,ifrs-full_shorttermmiscellaneousotherprovisions
511,ifrs-full_shorttermonerouscontractsprovision
512,ifrs-full_shorttermprovisionfordecommissioningrestorationandrehabilitationcosts
513,ifrs-full_shorttermrestructuringprovision
514,ifrs-full_shorttermwarrantyprovision
515,ifrs-full_statementoffinancialpositionabstract
516,ifrs-full_tradeandothercurrentpayables
517,ifrs-full_tradeandothercurrentreceivables
518,ifrs-full_treasuryshares
